status,review_id,files,visible_product,catalog_candidate,reason,next_action
create_new_confirm,folder02-053,PETE8909.JPG,"BDMP Salted Dried Shrimp size M, 100g","Near catalog row ADG-001686 is BDMP salted dried shrimp size L 100g, but owner photo says size M.","Do not import to ADG-001686 unless owner confirms M and L are intentionally same SKU; otherwise create separate size-M product."
create_new_confirm,folder02-054,"PETE8910.JPG; PETE8911.JPG","Super Heo Vien / Vietnamese pork balls, frozen","No exact frozen meatball catalog match.","Create after confirming exact meat type, weight, EAN and storage."
create_new,folder02-055,PETE8912.JPG,"Inaka Sanuki Udon, 1.20kg","Catalog has other 200g/300g udon rows, not this 1.20kg Inaka pack.","Create noodle product; confirm pack count and EAN."
create_new,folder02-056,"PETE8914.JPG; PETE8915.JPG","Frozen Minced Crab in Water / Nuoc Rieu Cua, 500g","No exact frozen crab catalog match.","Create frozen seafood product; mark crustacean allergen."
create_new,folder02-057,PETE8916.JPG,"Dodo Fish Ball","No exact Dodo fish ball catalog match.","Create frozen fish-ball product; confirm weight."
create_new,folder02-058,PETE8917.JPG,"Tempeh, vegan fermented soy product","No exact tempeh catalog match.","Create chilled/frozen soy product; confirm storage and allergens."
create_new,folder02-059,PETE8918.JPG,"Dodo Tofu Fish Cake","No exact Dodo tofu fish cake catalog match.","Create frozen fish-cake product; confirm weight."
create_new_confirm,folder02-060,"PETE8919.JPG; PETE8920.JPG","Lakovo / Wantan sheets / Won Tong pastry","No exact wonton pastry catalog match; label needs final product name confirmation.","Create after owner confirms final name and pack size."
create_new_confirm,folder02-061,"PETE8921.JPG; PETE8922.JPG","Vietnamese beef balls / bo vien style frozen pack","No exact frozen beef-ball catalog match.","Create after confirming meat type, weight and EAN."
create_new,folder02-062,"PETE8923.JPG; PETE8924.JPG","Asian Choice Tom Yum Set, 114g","Catalog has Tom Yum paste/soup products, not this frozen Tom Yum set.","Create frozen vegetable/set product; confirm category."
hold_confirm,folder02-063,"PETE8925.JPG; PETE8926.JPG; PETE8927.JPG","Frozen fish slices/steaks, label partly readable","No safe exact product name from contact sheet/OCR.","Hold for owner confirmation before product creation."
create_new_confirm,folder02-064,PETE8928.JPG,"Asia Foods Vietnamese Style Snack / Wietnamski Przysmak","Same family as folder02 batch002 PETE7976; no exact catalog match.","Group with PETE7976 after owner confirms exact SKU."
create_new,folder02-065,"PETE8929.JPG; PETE8930.JPG","Asia Foods Seafood Roll Cake","Same product family as folder02 batch002 PETE7979; no exact catalog match.","Group with prior owner images when creating product."
create_new,folder02-066,"PETE8931.JPG; PETE8932.JPG","Asia Foods Shrimp Net Spring Roll PTO / Saigonki Net - Krewetki z ogonkami","Same product family as folder02 batch002 PETE7978; no exact catalog match.","Group with prior owner images when creating product."
create_new,folder02-067,PETE8933.JPG,"Tobiko Orange Supreme, flying fish roe, 500g","No exact tobiko catalog match.","Create chilled/frozen seafood product; confirm storage and EAN."
create_new,folder02-068,"PETE8934.JPG; PETE8935.JPG","Sesame Balls Peanut Flavour, 228g","No exact peanut sesame ball catalog match.","Create frozen dessert product; confirm brand."
hold_confirm,folder02-069,"PETE8936.JPG; PETE8937.JPG","Black/red tray product, likely fish with red paste/sauce","Label not reliable enough from contact sheet/OCR.","Hold for owner confirmation before product creation."
hold_confirm,folder02-070,PETE8938.JPG,"So Mot / soybean-leaf style wrapped product","No safe exact product name from photo/OCR.","Hold for owner confirmation."
